source_id,section,unit,subsection,source_order,word_raw,word,flags
1,必考词,1,词汇预览,1,radiate,radiate,double_column_ocr_review_needed
2,必考词,1,词汇预览,2,observe,observe,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
3,必考词,1,词汇预览,3,☐identity,identity,marked_in_preview;double_column_ocr_review_needed
4,必考词,1,词汇预览,4,justify,justify,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
5,必考词,1,词汇预览,5,magnificent,magnificent,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
6,必考词,1,词汇预览,6,qualification,qualification,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
7,必考词,1,词汇预览,7,scene,scene,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
8,必考词,1,词汇预览,8,radiant,radiant,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
9,必考词,1,词汇预览,9,obsession,obsession,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
10,必考词,1,词汇预览,10,journal,journal,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
11,必考词,1,词汇预览,11,label,label,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
12,必考词,1,词汇预览,12,maintain,maintain,double_column_ocr_review_needed
13,必考词,1,词汇预览,13,qualify,qualify,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
14,必考词,1,词汇预览,14,scenery,scenery,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
15,必考词,1,词汇预览,15,radical,radical,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
16,必考词,1,词汇预览,16,obsolete,obsolete,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
17,必考词,1,词汇预览,17,journalist,journalist,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
18,必考词,1,词汇预览,18,☐ lag,lag,marked_in_preview;double_column_ocr_review_needed;possible_mixed_neighbor_meanings
19,必考词,1,词汇预览,19,maintenance,maintenance,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
20,必考词,1,词汇预览,20,quality,quality,double_column_ocr_review_needed;possible_mixed_neighbor_meanings
